scenario,week,p05,p10,p25,p50,p75,p90,p95
base_case,34,4.828984430106988,5.148526916023322,5.653449468016062,6.229361961771976,6.816301386256814,7.333736979838989,7.650217882154396
base_case,35,4.834841950118602,5.134383503138842,5.63436378938143,6.2361086581085985,6.807189734140683,7.336141717390385,7.662939212698043
base_case,36,4.815204422533776,5.132270524552247,5.636605454389305,6.227355513466502,6.818482195856522,7.338794123603902,7.688474814570164
base_case,37,4.796840975464557,5.1289985957065,5.639402131389021,6.232406783224151,6.824671934900708,7.341670639657328,7.697632339684077
base_case,38,4.788746421008052,5.114517872918222,5.6296831170474375,6.225653972882997,6.836766535444148,7.3533527103741925,7.723885175799029
base_case,39,4.798406839549659,5.108302066411391,5.625096413484168,6.22444249369962,6.83717523639468,7.372744318430671,7.731730162463361
base_case,40,4.771222189419927,5.0973950204860445,5.623485069261505,6.23158736545278,6.846428436608178,7.378418035829823,7.770836362393538
base_case,41,4.772866840402287,5.07845482220139,5.627082921410717,6.216744325914945,6.8450524976286475,7.386983299604103,7.766776063831908
base_case,42,4.745229566371872,5.050696689025635,5.60496428481985,6.2233833225032145,6.839267443455115,7.406004506176272,7.748663167910579
base_case,43,4.73323642615694,5.054560499406999,5.601693731821673,6.226261778315584,6.837219973373446,7.43017962902169,7.755132572589929
base_case,44,4.735079060004994,5.058356343528947,5.6038495489929385,6.224091046349563,6.850413868344091,7.430368025146006,7.780471618355478
base_case,45,4.739578547597536,5.054442071577022,5.598991016189951,6.228381225701645,6.8614656213118845,7.436502028131787,7.799026695390826
base_case,46,4.7094668688623305,5.045121219780136,5.580282240961021,6.223528856992804,6.8671824662206316,7.435978593794825,7.797007053899868
base_case,47,4.693470675698217,5.028201212249394,5.587626923498125,6.228342563671093,6.867774558033705,7.447325943590743,7.819208317780251
base_case,48,4.672707767970452,5.013687952241355,5.583036323696734,6.238441066940586,6.869154029372709,7.472667540703026,7.8174808614859
base_case,49,4.645583487483469,5.01272115664872,5.573672858295897,6.239529885977907,6.863634045910826,7.466207818272215,7.810290066625426
base_case,50,4.6582989799997065,5.005297647392481,5.561993851144842,6.230094170935506,6.878897862189655,7.456935363241859,7.81911523979446
base_case,51,4.6501359419944235,5.003392011216936,5.5629037994485415,6.230306151596532,6.875507194490977,7.475896205783733,7.815904814195037
base_case,52,4.613674424586116,4.982369634512325,5.562503045560659,6.238124098341262,6.883495571512093,7.474399974586203,7.8079381110721116
easing_narrowing,1,5.991955144140285,6.039281159373182,6.129015794146078,6.230990632811902,6.32791960672217,6.417513635993652,6.475422595427966
