scenario,week,p05,p10,p25,p50,p75,p90,p95
financial_stress,17,5.060271100332059,5.3949860296223395,5.9562747336728865,6.582267088238272,7.1947149794243215,7.751330840377288,8.061452831432325
financial_stress,18,5.0566402481154995,5.36981670554337,5.93934363535892,6.591530803865493,7.219609850970619,7.757740310050749,8.094167342658356
financial_stress,19,5.061540644677656,5.3723859932785665,5.937383027393708,6.585733255209243,7.2319100870552715,7.787839949711477,8.093982627872759
financial_stress,20,5.022982417172304,5.371595035532605,5.946530831833696,6.5934041710609534,7.246785945345899,7.819247769155068,8.135595561532355
financial_stress,21,5.02298828594246,5.383535119178381,5.944996582206895,6.603248375477243,7.261313576236548,7.822361760132763,8.134963688860255
financial_stress,22,5.0246079333990785,5.363952594994366,5.9531325583704575,6.610481142654662,7.269463170596115,7.817673287895638,8.161524935554382
financial_stress,23,5.005821400345738,5.350275703392938,5.949484649088262,6.613430078665133,7.269917813048397,7.840618296728354,8.189461661198175
financial_stress,24,5.020023963875864,5.333652934456048,5.954591095729648,6.623884982187848,7.2642982471301405,7.859309410931195,8.211758170196818
financial_stress,25,4.9926862579767395,5.32537082665659,5.958458609709554,6.612212266663432,7.286440278759687,7.887369812810315,8.258742151653934
financial_stress,26,4.9804230296838075,5.334969698710445,5.9516635919187335,6.628541237236516,7.299710579520614,7.899649492007073,8.260809270613834
financial_stress,27,4.93923643774684,5.328028499285099,5.942969605436526,6.612862379399223,7.307729507495656,7.893668263835953,8.250138445882204
financial_stress,28,4.918318813888616,5.297746614330573,5.925615259421237,6.603581817793971,7.29576809341222,7.939098957457941,8.299228564914726
financial_stress,29,4.916687873848538,5.29696409307986,5.912514205580837,6.613581766729854,7.314904984008399,7.956355263525563,8.332036652724609
financial_stress,30,4.877468341550928,5.28744487004718,5.911184948466953,6.605314791472745,7.315338134402191,7.9486067962765325,8.323108150274267
financial_stress,31,4.901136200876512,5.26129028480667,5.906666369286184,6.609201705909795,7.3305464598417345,7.964855204223841,8.338697677211963
financial_stress,32,4.89145770193656,5.268071561980207,5.907226571157295,6.6212586761747865,7.3202869500353,7.95963847689818,8.333932912425697
financial_stress,33,4.903741396634593,5.253019674782308,5.891233300355988,6.620919833983189,7.325216497155485,7.951486458011187,8.35771901400179
financial_stress,34,4.898376379195241,5.253691453084434,5.89480215849721,6.626043109861461,7.3294259452506525,7.950661943610667,8.324845722227353
financial_stress,35,4.896442923410524,5.257529906053066,5.9031218344017145,6.6265667209932175,7.319007820967432,7.977649720372786,8.311427969405054
financial_stress,36,4.878841328487879,5.2726188788730886,5.9043079153408655,6.627901921064968,7.329497370745896,7.976359456879763,8.353765754243112
financial_stress,37,4.864466935946288,5.256793066060357,5.920686803602585,6.6313774984631255,7.340513362054975,8.002922556551114,8.368567657764652
financial_stress,38,4.862689901938982,5.288919312851966,5.9207425154311615,6.621737814585716,7.318480123775719,7.990250709331902,8.397454489234503
financial_stress,39,4.846585817738114,5.258588812001798,5.905889721940601,6.615975703523031,7.343083968589401,7.9881846632678615,8.356462406092461
financial_stress,40,4.856780311327142,5.265252315768739,5.91982398586838,6.6328437608886,7.351312734432502,7.9985807983830695,8.39037368641011
financial_stress,41,4.859785958871204,5.258305436673235,5.920315807347336,6.63382664419429,7.34757552765362,7.982766371922327,8.375776396718432
financial_stress,42,4.889655623883881,5.256811305486835,5.911784153310722,6.625272394791427,7.346033548274886,7.974681207112561,8.379752839313866
financial_stress,43,4.897865683222696,5.2715984200093455,5.909971841544914,6.6313285585986765,7.359992271817333,7.975895705268659,8.344807457117803
financial_stress,44,4.876893622438382,5.276039513087602,5.88235117391962,6.626889149848794,7.35466564451763,7.98713546295999,8.37601754446067
financial_stress,45,4.863273383151719,5.260146312113379,5.8827184730675945,6.611114674150194,7.368702689155869,7.984884823993788,8.388143206774325
financial_stress,46,4.853182093077522,5.2396226317911125,5.884613092473037,6.615163168321944,7.361606511859525,8.006815560425222,8.42134809829115
financial_stress,47,4.81161918601883,5.225805554697922,5.859096998603491,6.623309198467491,7.368611575841294,8.01462302982469,8.438755889076932
