week,p05,p10,p25,p50,p75,p90,p95,economic_view
22,5.323052057386019,5.5540618282160255,5.953548651580208,6.379254748925402,6.833493307894468,7.271046696188611,7.569241617765106,current_view
23,5.325086994434988,5.552671142464503,5.953084453280448,6.390019099852708,6.838076244192301,7.296084930513589,7.568784536789125,current_view
24,5.305102440386155,5.530414913439703,5.9444192572268975,6.38554544286113,6.8340852919308706,7.299362782307155,7.5867286679590515,current_view
25,5.265090935189076,5.5192332463532745,5.93969855683307,6.384308219463319,6.846951528101529,7.310376771414708,7.614001195613651,current_view
26,5.240057446712391,5.508265017812131,5.932183029810597,6.3856213278489085,6.85899549646735,7.3297511551492,7.642288785590299,current_view
27,5.2714714138529954,5.509029079216088,5.922496422719875,6.387654836284254,6.876569602914849,7.350545387235828,7.628403330043711,current_view
28,5.235967700930819,5.517700078935886,5.931316525454249,6.401739452652516,6.883074123768855,7.347118181070806,7.656514581688409,current_view
29,5.229164024858128,5.486423551178962,5.924625246049764,6.415200085579333,6.896399541598828,7.370519096709272,7.659566172697554,current_view
30,5.245333325350479,5.507143824246828,5.939003079456004,6.417912997491218,6.899546177640624,7.369867064934826,7.694664119360109,current_view
31,5.229952730770037,5.494815640469183,5.9289780032016655,6.4222415346482995,6.9037325064628625,7.390963269492183,7.709489364962711,current_view
32,5.213555424332183,5.475494674886269,5.925365123183482,6.421161216069613,6.904852320300835,7.408600802609803,7.708073023291846,current_view
33,5.223466209580116,5.480981270403074,5.928954680588106,6.423251742437381,6.913351463120219,7.400545489727782,7.7665753167925065,current_view
34,5.196421554318534,5.497642860330002,5.92542901824335,6.423590842678104,6.927237866051707,7.434410950795424,7.765788176333265,current_view
35,5.215872935271754,5.4868729468783775,5.9147522825259795,6.427758281779037,6.934400641620857,7.428255480710833,7.747832088870052,current_view
36,5.226571985742745,5.474180501594281,5.917848753456603,6.434018620227285,6.937893247970633,7.444339871895915,7.764274679846874,current_view
37,5.199142872480541,5.482360384478322,5.914486494518028,6.426995351322635,6.934149319472638,7.437539752564898,7.768241715493537,current_view
38,5.216125691300961,5.449772284457132,5.910898011351447,6.423587573255061,6.945430290876233,7.454171554655897,7.750807632815684,current_view
39,5.170045542169357,5.437495764936929,5.902158391126058,6.431047111910296,6.960233275337903,7.450444258497394,7.779999370912013,current_view
40,5.1491966809124605,5.440926581428322,5.907001009931744,6.436006392658437,6.962622429773624,7.4787408541227425,7.809435978390927,current_view
41,5.160586383744937,5.453788596703164,5.908390619819406,6.434657017850662,6.968929229873729,7.461950878228123,7.808148947035643,current_view
42,5.187369656350322,5.458678396489534,5.9020872648765526,6.4218875781911535,6.960233892085544,7.452504208523601,7.782609896693638,current_view
43,5.171500386864832,5.457673881829297,5.916152032403968,6.438489443228853,6.969351805371675,7.462463460566065,7.782277497947063,current_view
44,5.151828833883754,5.462091049082348,5.913349913760046,6.435244204310789,6.974974032195068,7.476280067626859,7.771901567141934,current_view
45,5.1478760547644224,5.440014915423535,5.911675187532715,6.434181128255623,6.9609637167196095,7.4905303808508,7.7977246384893775,current_view
46,5.14286100032809,5.425565989492037,5.9110698320643875,6.424541804185264,6.974262008953824,7.464226745306628,7.793914935503174,current_view
47,5.131582291077716,5.415218384164215,5.90307367650621,6.414519445139088,6.971817467412529,7.472878675463034,7.785858959934664,current_view
48,5.114658118401506,5.4305032573081355,5.909327586890587,6.412153352615199,6.961410664064135,7.4875196504237405,7.766049875871969,current_view
49,5.1136760446231895,5.406088304803955,5.909970277153322,6.405877077345064,6.961002115179805,7.484643388547229,7.767837144583202,current_view
50,5.1175979866380565,5.398445526849736,5.901737083613156,6.407541680963064,6.978047498233369,7.482337457861711,7.801703018713418,current_view
51,5.109958731944739,5.399594544797178,5.905885744360816,6.409565376879677,6.967594623832426,7.480415704802894,7.775862653207791,current_view
52,5.100417357347952,5.404245197358496,5.895160573419988,6.412059680173334,6.944090638452034,7.502806104768944,7.812092233779463,current_view
1,5.994642081086582,6.057637047225409,6.159984516269789,6.275842646182683,6.393570636538653,6.499707874686156,6.556573765953285,higher_for_longer_view
2,5.880243349246158,5.967954045779062,6.121906018225193,6.291311737549281,6.454466496783359,6.614362649416828,6.70813407509626,higher_for_longer_view
3,5.811827996260426,5.928717412499265,6.102478185796108,6.310024302773937,6.505925387263593,6.692755972867036,6.820307660325088,higher_for_longer_view
4,5.763523413351845,5.890065214545507,6.089611027927546,6.323326558422072,6.546659660641275,6.787160217886498,6.930003281846846,higher_for_longer_view
5,5.722306349495695,5.852567365312559,6.066913516073901,6.3360023691089555,6.599594878339978,6.849083491469674,6.990181553228469,higher_for_longer_view
6,5.680665168013389,5.836083351270979,6.065865297979503,6.357897220837479,6.6433955168113155,6.899958241661083,7.059078528811523,higher_for_longer_view
7,5.660584593578733,5.810099538983223,6.053851100340753,6.360567604293751,6.658893397370285,6.936015967747417,7.140960392330301,higher_for_longer_view
8,5.610501113044359,5.767287268642631,6.054824775996373,6.375072192275411,6.693579834692484,6.9964003533886725,7.1826925061081255,higher_for_longer_view
9,5.571393312705049,5.7452614623606095,6.049467251884747,6.395201714735732,6.721979470418788,7.038125624000802,7.231710138626062,higher_for_longer_view
10,5.547495194142723,5.728943971977154,6.0462459023687725,6.402198974751984,6.749889189181043,7.072823728970396,7.277695484519771,higher_for_longer_view
11,5.50868174498584,5.730031367613717,6.0519480132135435,6.395198536836429,6.764216868537668,7.110910180959018,7.292966700837169,higher_for_longer_view
12,5.4946537848976735,5.700783757490097,6.051085495693674,6.396494153073869,6.791439035944338,7.159921259010948,7.365838260083886,higher_for_longer_view
13,5.47496966682674,5.720127204693914,6.05283482539953,6.414321818050389,6.821391197691145,7.2025354531771875,7.391429309340932,higher_for_longer_view
14,5.465038472677939,5.713544697959994,6.035495296267848,6.421108811583184,6.824035936535608,7.215646007470512,7.418697836761501,higher_for_longer_view
15,5.450462400283865,5.6908385120363905,6.0502585893591085,6.425915975875711,6.8447535438295475,7.220868566158077,7.465651485511429,higher_for_longer_view
16,5.4205904372136535,5.67545328472466,6.032989734249612,6.4263855842320385,6.856987357130085,7.240866701314948,7.498498858965346,higher_for_longer_view
17,5.411428813835046,5.671139561519866,6.043845497007087,6.448306914531618,6.873263284960042,7.2911257702839345,7.520982485723532,higher_for_longer_view
18,5.405569119571019,5.66248685044697,6.035347643464752,6.439188661011298,6.888346145888351,7.307763735824725,7.568398475431708,higher_for_longer_view
19,5.385554132731567,5.630068782396455,6.023023234579034,6.450471924592247,6.899001321946077,7.332394952349966,7.583607037564626,higher_for_longer_view
20,5.380111439440845,5.637730152575889,6.022720475640951,6.449853713579576,6.921632018679893,7.364083297281041,7.602941144005603,higher_for_longer_view
21,5.384056540329903,5.630320726648974,6.027153254434383,6.458144764223508,6.9247761386601825,7.372293055994286,7.633759963125689,higher_for_longer_view
22,5.361321097166395,5.613616028517682,6.020901070830626,6.466018827987709,6.9420905216076285,7.396834800767958,7.6676140675471265,higher_for_longer_view
23,5.354187381471704,5.59545217300704,6.009797540814194,6.467285419063138,6.95983797282343,7.415472494945322,7.6935778114834505,higher_for_longer_view
24,5.342063564421732,5.586273101294176,6.021162038052415,6.463218518739957,6.958048632538889,7.432935783112928,7.690172214458577,higher_for_longer_view
25,5.295984618322395,5.574536386958986,6.016746059042965,6.48066231770882,6.980382745355206,7.4393600455849525,7.723855710986701,higher_for_longer_view
26,5.267107770098988,5.561107181513557,6.008254766339099,6.486437248291482,6.984578186340802,7.471910218959833,7.733378515120818,higher_for_longer_view
27,5.294265727998242,5.554576729300313,5.997855433472328,6.507077622219269,7.002013976900762,7.49611107717479,7.752271949610525,higher_for_longer_view
28,5.259956549619083,5.571275353089469,6.006618259421738,6.504308445328908,7.017753522444687,7.483092122396775,7.786657663045404,higher_for_longer_view
29,5.269666396735736,5.543315043843798,6.010625745416027,6.515846575931634,7.039594769627319,7.514595205451053,7.8038320506293175,higher_for_longer_view
30,5.273854466631548,5.551098704221379,6.020868961119495,6.528685645536646,7.048160790569529,7.525759390131533,7.82756474136687,higher_for_longer_view
31,5.26257676333449,5.5472759099068405,6.038532274569354,6.530195335085708,7.056845439735905,7.541230026410177,7.833698292028252,higher_for_longer_view
32,5.253682844679688,5.543780425190708,6.024782883435243,6.531443567393271,7.048850461478212,7.563650141561571,7.8709261541760975,higher_for_longer_view
33,5.2693410278995,5.563290614824323,6.0236709490950995,6.527642951503845,7.058321747154558,7.580376723547261,7.892211759229631,higher_for_longer_view
34,5.235125388781511,5.581250127232456,6.018890454609256,6.549500615729967,7.068817958802882,7.577903911356201,7.901900252527379,higher_for_longer_view
35,5.257954574405032,5.553182130015113,6.024702550665105,6.543350953232805,7.079348733485094,7.585741263816116,7.9156050268807325,higher_for_longer_view
36,5.255458888260012,5.535845897397237,6.0082738549764505,6.555528964832452,7.0895324718688695,7.591848115604997,7.909663087727429,higher_for_longer_view
37,5.245886384676215,5.543326670694164,6.0123160892787855,6.557498501727642,7.100285947100151,7.596854171412856,7.905844729255036,higher_for_longer_view
38,5.260789147877309,5.507972650293586,6.014347328196762,6.555313360437243,7.111561579550156,7.6113111837999,7.915822208459875,higher_for_longer_view
39,5.220176280148978,5.512257896708374,6.006116158814216,6.565577651528561,7.113380273255535,7.604648277298983,7.937509494602201,higher_for_longer_view
40,5.205214182323553,5.507256748682122,6.010360937806085,6.566526380112119,7.123908321096577,7.624228780047422,7.933284195668728,higher_for_longer_view
41,5.221605500639334,5.523379739165089,6.012801354900819,6.558809416141248,7.124180370816597,7.630185311385214,7.947487023732992,higher_for_longer_view
42,5.231028588378639,5.528546715278322,6.015459102501839,6.5727214279836375,7.138248724900044,7.640933728521569,7.9518420631033955,higher_for_longer_view
43,5.23185992561519,5.51972713722671,6.010718392287799,6.570520001236937,7.133179690631225,7.635845303515761,7.992930249492623,higher_for_longer_view
44,5.210939881899444,5.523156145948426,6.013806464942265,6.573646885217537,7.139380320224806,7.631465219050855,7.959780687098883,higher_for_longer_view
45,5.220029780716055,5.509977678795168,6.0216772562539065,6.578121195271404,7.139088082602006,7.667028677231261,7.97004711692379,higher_for_longer_view
46,5.220628459625777,5.494160720554592,6.018092391786485,6.56232993952343,7.134640244231945,7.648415905815584,7.983806133239819,higher_for_longer_view
47,5.1878560635889714,5.475189119671471,6.019477618379964,6.561469373533425,7.134836911793342,7.650364470064838,7.959937350343183,higher_for_longer_view
