dataset_name,target_col,feature_name
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs30_chg_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs10_roll_mean_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs10_roll_mean_12w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs10_roll_std_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,dgs10_roll_std_12w
dgs10_short_oas_1w,target_dgs10_chg_1w,vixcls_chg_1w
dgs10_short_oas_1w,target_dgs10_chg_1w,vixcls_chg_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,vixcls_roll_mean_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,vixcls_roll_mean_12w
dgs10_short_oas_1w,target_dgs10_chg_1w,vixcls_roll_std_4w
dgs10_short_oas_1w,target_dgs10_chg_1w,vixcls_roll_std_12w
dgs10_short_oas_1w,target_dgs10_chg_1w,BAMLH0A0HYM2
dgs10_short_oas_1w,target_dgs10_chg_1w,BAMLC0A4CBBB
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread
spread_short_oas_1w,target_spread_chg_1w,MORTGAGE30US
spread_short_oas_1w,target_spread_chg_1w,DGS10
spread_short_oas_1w,target_spread_chg_1w,DGS2
spread_short_oas_1w,target_spread_chg_1w,DGS3MO
spread_short_oas_1w,target_spread_chg_1w,DGS5
spread_short_oas_1w,target_spread_chg_1w,DGS30
spread_short_oas_1w,target_spread_chg_1w,FEDFUNDS
spread_short_oas_1w,target_spread_chg_1w,BAA
spread_short_oas_1w,target_spread_chg_1w,AAA
spread_short_oas_1w,target_spread_chg_1w,NFCI
spread_short_oas_1w,target_spread_chg_1w,VIXCLS
spread_short_oas_1w,target_spread_chg_1w,UNRATE
spread_short_oas_1w,target_spread_chg_1w,CPIAUCSL
spread_short_oas_1w,target_spread_chg_1w,yield_curve_10y_2y
spread_short_oas_1w,target_spread_chg_1w,yield_curve_10y_3mo
spread_short_oas_1w,target_spread_chg_1w,yield_curve_30y_10y
spread_short_oas_1w,target_spread_chg_1w,credit_spread_baa_aaa
spread_short_oas_1w,target_spread_chg_1w,credit_spread_baa_10y
spread_short_oas_1w,target_spread_chg_1w,credit_spread_aaa_10y
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_chg_1w
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_chg_4w
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_roll_mean_4w
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_roll_mean_12w
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_roll_std_4w
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_roll_std_12w
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_roll_mean_5y
spread_short_oas_1w,target_spread_chg_1w,mortgage_spread_gap_vs_5y_avg
spread_short_oas_1w,target_spread_chg_1w,dgs10_chg_1w
spread_short_oas_1w,target_spread_chg_1w,dgs10_chg_4w
spread_short_oas_1w,target_spread_chg_1w,dgs10_roll_mean_4w
spread_short_oas_1w,target_spread_chg_1w,dgs10_roll_mean_12w
spread_short_oas_1w,target_spread_chg_1w,dgs10_roll_std_4w
spread_short_oas_1w,target_spread_chg_1w,dgs10_roll_std_12w
spread_short_oas_1w,target_spread_chg_1w,vixcls_chg_1w
spread_short_oas_1w,target_spread_chg_1w,vixcls_chg_4w
spread_short_oas_1w,target_spread_chg_1w,vixcls_roll_mean_4w
spread_short_oas_1w,target_spread_chg_1w,vixcls_roll_mean_12w
spread_short_oas_1w,target_spread_chg_1w,vixcls_roll_std_4w
spread_short_oas_1w,target_spread_chg_1w,vixcls_roll_std_12w
spread_short_oas_1w,target_spread_chg_1w,nfci_chg_1w
spread_short_oas_1w,target_spread_chg_1w,nfci_chg_4w
spread_short_oas_1w,target_spread_chg_1w,nfci_roll_mean_4w
spread_short_oas_1w,target_spread_chg_1w,nfci_roll_mean_12w
spread_short_oas_1w,target_spread_chg_1w,nfci_roll_std_4w
spread_short_oas_1w,target_spread_chg_1w,nfci_roll_std_12w
spread_short_oas_1w,target_spread_chg_1w,BAMLH0A0HYM2
spread_short_oas_1w,target_spread_chg_1w,BAMLC0A4CBBB
